,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
257,Colorado Avalanche,Vegas Golden Knights,3,2,2021-02-20 20:13:34,2,0,Honda West
261,Detroit Red Wings,Florida Panthers,2,1,2021-02-20 22:08:19,2,0,Discover Central
258,Arizona Coyotes,Los Angeles Kings,2,4,2021-02-21 00:07:38,0,2,Honda West
253,Columbus Blue Jackets,Nashville Predators,2,4,2021-02-21 00:07:48,0,2,Discover Central
408,Carolina Hurricanes,Tampa Bay Lightning,4,0,2021-02-21 00:07:51,2,0,Discover Central
254,St. Louis Blues,San Jose Sharks,4,5,2021-02-21 00:08:09,0,2,Honda West
255,Montréal Canadiens,Toronto Maple Leafs,3,5,2021-02-21 00:15:16,0,2,Scotia North
252,Pittsburgh Penguins,New York Islanders,3,2,2021-02-21 00:15:49,2,0,MassMutual East
259,Anaheim Ducks,Minnesota Wild,1,5,2021-02-21 02:07:30,0,2,Honda West
256,Edmonton Oilers,Calgary Flames,7,1,2021-02-21 03:09:55,2,0,Scotia North
358,Washington Capitals,New Jersey Devils,4,3,2021-02-21 19:30:01,2,0,MassMutual East
262,Ottawa Senators,Montréal Canadiens,3,2,2021-02-22 00:10:04,2,1,Scotia North
260,Boston Bruins,Philadelphia Flyers,7,3,2021-02-22 00:59:41,2,0,MassMutual East
263,Vancouver Canucks,Winnipeg Jets,3,4,2021-02-22 03:08:11,1,2,Scotia North
267,Toronto Maple Leafs,Calgary Flames,0,3,2021-02-23 00:07:18,0,2,Scotia North
145,New York Islanders,Buffalo Sabres,3,2,2021-02-23 00:07:26,2,0,MassMutual East
93,Carolina Hurricanes,Tampa Bay Lightning,2,4,2021-02-23 00:07:50,0,2,Discover Central
8,Florida Panthers,Dallas Stars,3,1,2021-02-23 00:08:33,2,0,Discover Central
266,St. Louis Blues,Los Angeles Kings,0,3,2021-02-23 01:08:00,0,2,Honda West
268,Colorado Avalanche,Vegas Golden Knights,0,3,2021-02-23 02:07:44,0,2,Honda West
